,head,relation,tail,literal,narrative,dialogue,speakers,PersonX,PersonY,PersonZ,original_index,split,head_answer,pmi_head_answer,relation_tail_answer,pmi_relation_tail_answer
10,PersonX receives counseling,xEffect,is happier,Arius receives counseling. Now Arius is happier.,"Arius is a high school student who has been struggling with her mental health for a few months. She finally decides to seek counseling from her school's guidance counselor. After a few sessions, Arius starts to feel better and is able to cope with her problems more effectively.","[""Hi, I'm here to see the guidance counselor.""
 'Hi Arius, come in. How are you doing today?'
 ""I'm alright. Just struggling a bit mentally.""
 'I see. Well, counseling can definitely help with that. What seems to be the problem?'
 ""Just some things going on at home and school. It's been building up for a while and I just can't seem to shake it off.""
 ""That sounds tough. Do you want to talk about what's going on?""
 ""Yeah, I guess so. My parents are getting divorced and it's really hard to deal with. On top of that, I'm not doing well in school and I feel like I'm just constantly screwing up.""
 'That sounds like a lot to deal with all at once. How have you been coping?'
 ""Not well, obviously. I've been trying to bottle everything up but it's just too much now.""
 'Yes, bottling up your emotions can make things worse in the long run. It\'s good that you came to talk to me about this before it got too overwhelming for you.""']","['Arius' 'Guidance Counselor' 'Arius' 'Guidance Counselor' 'Arius'
 'Guidance Counselor' 'Arius' 'Guidance Counselor' 'Arius'
 'Guidance Counselor']",Arius,,,162514,train,Yes,Yes,Unknown,Unknown
11,PersonX offers to help PersonY with an addiction,xAttr,trustworthy,Shepherd is trustworthy. Shepherd offers to help Sahasra with an addiction.,Shepherd is trustworthy. He offered to help Sahasra with an addiction and she accepted. He is currently helping her through withdrawal and counseling her on staying clean.,"['Hey, how are you feeling today?'
 ""I'm feeling better, thank you for helping me through this.""
 ""No problem, I want to help you get through this and stay clean. Let's talk about what's been going on lately.""
 ""Yeah, it's been tough. I'm just really grateful that you're here for me.""
 'Of course, I care about you a lot. So, what do you think is the best way to stay clean?'
 ""I think it's important to have a support system and to be honest with yourself about what's going on.""
 ""Yeah, those are both really good points. I'll be here for you every step of the way. Do you have any other questions or anything you want to talk about?""
 'No, I think that covers everything for now. Thank you so much, Shepherd']","['Shepherd' 'Sahasra' 'Shepherd' 'Sahasra' 'Shepherd' 'Sahasra' 'Shepherd'
 'Sahasra']",Shepherd,Sahasra,,172942,train,Yes,Yes,Yes,Yes
12,PersonX practices what she preaches,xIntent,to help others,Fabricio practices what she preaches because Fabricio wants to help others.,"Fabricio is a nutritionist who helps people improve their diets by counseling them on what to eat and providing them with healthy recipes. Fabricio also gives talks on nutrition and cooking, and she has written a book called ""The nutritious way to cook.""","['Hi, thanks for coming to see me today.'
 'Yeah, no problem. I need all the help I can get when it comes to eating healthy.'
 'Absolutely. So, what are some of the foods that you typically eat on a daily basis?'
 'Well, I usually have cereal for breakfast, a sandwich or salad for lunch, and then something simple like pasta or chicken for dinner.'
 'Okay, that sounds like a pretty good start. But we can definitely make some improvements. For example, have you ever considered eating breakfast?'
 ""No, not really. I'm not really a morning person so I just don't have time for it. Plus, cereal is pretty quick and easy.""
 'Okay, well let me ask you this - would you rather have a nutritious breakfast that gives you energy for the day ahead or a bowl of cereal that leaves you feeling sluggish?'
 'Hmm...I guess I would rather have the nutritious breakfast. But what are some examples of things I could eat? And how much time would it actually take to make something like that?'
 ""Well, there are a lot of options. You could have a smoothie, some oatmeal, or even just a piece of fruit. And as far as time goes, it really doesn't have to take very long. If you're willing to put in the effort, I'm confident that you'll see results.""
 ""Okay, so let's say I'm willing to try eating breakfast. What are some ideas for what I could make?""
 ""Well, like I said before, there are a lot of options. But here are a few recipes that I think you'll really enjoy. [Fabricio proceeds to give the client several healthy breakfast options and recipes].""]","['Fabricio' 'Client' 'Fabricio' 'Client' 'Fabricio' 'Client' 'Fabricio'
 'Client' 'Fabricio' 'Client' 'Fabricio']",Fabricio,,,173581,train,Yes,Yes,Yes,Yes
13,PersonX suggests seeking counseling,xIntent,to feel better,Maisyn suggests seeking counseling because Maisyn wants to feel better.,"Maisyn is struggling with anxiety and has been for a while. They've tried to cope with it on their own, but it's just gotten too much. So, they've decided to seek counseling in order to feel better.","['Hey, thanks for seeing me.' 'Of course. How are you feeling today?'
 ""I'm feeling really anxious. I've been struggling with anxiety for a while and I just can't seem to cope with it on my own anymore.""
 'That sounds very difficult. Can you tell me more about your anxiety? What are some of the things that trigger it or make it worse?'
 ""Well, I get really worried about things that might happen in the future. I'll start to imagine all sorts of worst case scenarios and then I can't seem to stop myself from thinking about them. It's like my mind just won't let go of the thoughts. And then my heart starts racing and I start to feel short of breath and panicky. Sometimes it feels like the world is closing in on me and I just want to escape from it all.""
 ""It sounds like your anxiety is pretty severe and it's impacting your life in a lot of ways. Have you tried anything to help manage it?""
 ""Yeah, I've tried deep breathing exercises and visualization techniques but nothing seems to work for very long. And lately, my anxiety has been so bad that even those things aren't helping much anymore.""
 'It sounds like you\'re really struggling right now. But, it\'s important to remember that there are ways to manage anxiety and we can work together to find what works best for you. We\'ll take things one step at a time and hopefully soon you\'ll be feeling better.""']","['Maisyn' 'Counselor' 'Maisyn' 'Counselor' 'Maisyn' 'Counselor' 'Maisyn'
 'Counselor']",Maisyn,,,181780,train,Yes,Yes,Yes,Yes
14,PersonX makes an ultimatum,xIntent,to control the situation,Judge makes an ultimatum because Judge wants to control the situation.,"Judge gives his wife an ultimatum: either she goes to counseling with him, or he will divorce her. Judge is feeling hopeless and believes that counseling is the only way to save their marriage. If his wife does not agree to go to counseling, then Judge will have no choice but to end their marriage.","[""I've been thinking, and I think we need to go to counseling.""
 'What? Why do you want to go to counseling?'
 ""Because our marriage is in trouble. We're not communicating, we're fighting all the time, and I just feel hopeless.""
 ""I don't know if counseling is going to help.""
 ""It's worth a try, right? If we don't do something, then I'm afraid our marriage is going to end.""
 ""Fine, let's go to counseling.""]",['Judge' 'Wife' 'Judge' 'Wife' 'Judge' 'Wife'],Judge,,,198332,train,Yes,Yes,No,No
15,PersonX avoids a counseling referral,xIntent,to avoid a confrontation,Luz avoids a counseling referral because Luz wants to avoid a confrontation.,"Luz is nervous about going to counseling because she doesn't want to face her problems head-on. She would rather avoid a confrontation and sweep her problems under the rug. However, she knows that counseling could help her in the long run.","[""I'm not really sure if I'm ready to talk about this stuff. It's just, I feel like I've been avoiding my problems for so long and I don't want to face them head-on.""
 ""Well, avoidance can sometimes make things worse. Maybe it would be helpful to talk about what's going on and see if we can work through some of these issues.""
 ""Alright, I guess you're right. It's just hard for me to open up about this stuff.""
 ""That's perfectly understandable. Why don't we start with something easy then? Can you tell me a little bit about your childhood?""
 ""Yeah, I guess that makes sense. Well, I grew up in a pretty small town and my parents were always really supportive of me. But even though things were generally good, I always felt like there was something missing in my life. Like there was this hole inside of me that I couldn't fill no matter what I did. So eventually, I started turning to drugs and alcohol to try and numbed the pain. And that's when things started going downhill...""
 ""It sounds like you've been through a lot. And it makes sense that you would turn to drugs and alcohol to numb the pain. But it's important to try and find healthy ways to deal with your feelings. Otherwise, it can be easy to get caught in a spiral of addiction.""
 ""Yeah, I know. I've been trying to quit for awhile now, but it's just so hard. I feel like I'm always one step away from relapsing.""
 ""Recovery is a difficult process, but you're doing the right thing by seeking help. Just remember that relapse is always a possibility, but as long as you're willing to keep fighting, there's always hope for a better tomorrow.""]",['Luz' 'Counselor' 'Luz' 'Counselor' 'Luz' 'Counselor' 'Luz' 'Counselor'],Luz,,,213679,train,Yes,Yes,No,No
16,PersonX suggests seeking counseling,xReact,compassionate,Maksim suggests seeking counseling. Now Maksim feels compassionate.,Maksim suggested that James seek counseling. Maksim felt compassionate towards James and wanted to help him in any way possible.,"[""James, I'm worried about you. You've been acting really Strange lately.""
 'What do you mean?'
 ""You've been really withdrawn and you're not eating very much. You just don't seem like yourself.""
 ""I don't know what you're talking about. I'm fine.""
 ""No, you're not fine. I think you should talk to someone about what's going on with you.""
 ""There's nothing to talk about! I told you, I'm fine!""
 ""Fine, then don't talk to me about it. But please, James, just go talk to someone who can help you figure out what's going on with you.""
 ""I don't need help! I'm fine!""
 ""James, you're not fine. You need help. Trust me, I'm worried about you and I just want to see you get better.""
 ""There's nothing wrong with me! I don't need help! Just leave me alone!""
 ""James, please. Just talk to someone. That's all I'm asking.""
 ""No! I don't need help! Leave me alone!""]","['Maksim' 'James' 'Maksim' 'James' 'Maksim' 'James' 'Maksim' 'James'
 'Maksim' 'James' 'Maksim' 'James']",Maksim,,,236248,train,Yes,Yes,No,No
17,PersonX begins a counseling session,xIntent,to be better,Paxtyn begins a counseling session because Paxtyn wants to be better.,"Paxtyn begins a counseling session because Paxtyn wants to be better. Paxtyn has been feeling down lately and has been struggling to cope with life. He hopes that by talking to someone, he will be able to feel better about himself and his life.","['Hey there. Thanks for seeing me today.'
 'No problem, Paxtyn. How are you doing?'
 ""I've been better, to be honest. I'm just struggling a lot lately and feeling down about myself and my life.""
 ""That sounds tough. Can you tell me more about what's going on?""
 ""It's just everything, you know? I feel like I'm not good enough and that things will never get better. I hate myself and sometimes I just wish I could disappear.""
 ""Those are really intense feelings, Paxtyn. It sounds like you're really struggling with something right now. Is there anything in particular that's been triggering these feelings for you?""
 ""Well, lately my job has been really stressful and I'm not doing as well as I'd like at school. My parents are always on my case about one thing or another and it feels like nobody understands me or how hard things are for me right now.""
 ""It sounds like you're feeling isolated and alone right now, which can amplify all of the other negative emotions you're experiencing. Have you talked to anyone else about how you're feeling?""
 ""No, not really. I don't want to burden anyone else with my problems and I'm afraid they'll think I'm weak if I can't handle things on my own.""
 ""It's understandable that you feel that way, but it's important to talk to someone about how you're feeling in order to get support and start working through these emotions. Would you be willing to talk about some of the specific things that are going on with me?""
 'Yeah, I guess so.'
 ""Great. Let's start with your job. What's been going on there that's been causing you so much stress?""]","['Paxtyn' 'Counselor' 'Paxtyn' 'Counselor' 'Paxtyn' 'Counselor' 'Paxtyn'
 'Counselor' 'Paxtyn' 'Counselor' 'Paxtyn' 'Counselor']",Paxtyn,,,242831,train,Yes,Yes,Unknown,No
18,PersonX helps make peace,xEffect,makes peace with his father,Magaly helps make peace. Now Magaly makes peace with his father.,Magaly helps make peace with his father by talking to him about their relationship and what they both want from it. Magaly also agrees to go to counseling with his father to help improve their communication.,"['Hey dad, I wanted to talk to you about our relationship and what we both want from it.'
 ""Sure, son. What's on your mind?""
 ""Well, I know we've had our differences in the past and I just wanted to try and make peace with you. I know things haven't always been easy between us but I love you and I don't want to fight with you anymore.""
 ""I love you too, Magaly. And I don't want to fight with you either. We're just so different sometimes it's hard to see eye-to-eye. But that doesn't mean we can't try harder to understand each other.""
 ""Yeah, I know that. And I'm willing to go to counseling with you if it would help improve our communication.""
 ""That sounds like a great idea! Let's set up an appointment with a counselor and start working on this together.""
 ""I'd like that. Thanks, dad.""
 'No problem, son. I love you no matter what.']",['Magaly' 'Dad' 'Magaly' 'Dad' 'Magaly' 'Dad' 'Magaly' 'Dad'],Magaly,,,265967,train,Yes,Yes,Yes,Yes
19,PersonX is guilty of mis-handling,xWant,to be treated with respect,Macayla is guilty of mis-handling. Now Macayla wants to be treated with respect.,Macayla is guilty of putting his hands on a female employee in an aggressive manner. He has been ordered by the court to receive counseling and anger management classes. Macayla wants to be treated with respect and without judgement from his co-workers.,"['Hey, can I talk to you for a second?' ""Sure. What's up?""
 ""I just wanted to apologize for what happened the other day. I know I shouldn't have put my hands on you like that and I'm really sorry.""
 ""It's okay, I understand why you were upset. But you really need to learn how to control your anger. Maybe some counseling or anger management classes would help.""
 ""Yeah, maybe you're right. I don't want to lose my job over something like this though. Do you think people are judging me?""
 ""Of course not. We're all human and we all make mistakes. Just try to stay calm in the future and things will be fine.""]",['Macayla' 'Co-worker' 'Macayla' 'Co-worker' 'Macayla' 'Co-worker'],Macayla,,,328817,train,Yes,Yes,Yes,Yes
20,PersonX enters counseling,xReact,motivated,Lukas enters counseling. Now Lukas feels motivated.,Lukas enters counseling. His therapist helps him to see that his problems stem from a lack of self-esteem. Lukas feels motivated to work on himself after realizing this.,"[""I've been thinking a lot lately about why things haven't been going well for me.""
 'What do you mean?'
 ""I don't know. It just seems like no matter what I do, I can't seem to catch a break. Everything falls apart and it's always my fault. I feel like I'm just not good enough.""
 'Do you really believe that?'
 ""I don't know. Sometimes it feels like the only thing I'm good at is screwing up.""
 'Lukas, can you tell me more about why you feel this way? Where do you think these feelings come from?'
 ""It's just...I don't know. Life has always been hard, even when things were going right on the surface, there was always something wrong underneath. And now it feels like everything is falling apart and I can't fix it. I feel so helpless and alone.""
 'You\'re not alone, Lukas. We\'re here to help you through this difficult time. As for feeling helpless, that\'s understandable given your situation. But remember, you are the one in control of your life and your choices. You have the power to change things if you don\'t like the way they are now.""'
 ""I don't know if I can. I've tried before and it never works out.""
 ""You're different now, Lukas. You've grown and learned from your past experiences. You can use that knowledge to make better choices in the future.""
 ""I guess you're right. It's just hard to see things clearly when you're in the middle of it all.""
 'That\'s why we\'re here to help you. We\'ll be with you every step of the way, Lukas. Together, we\'ll get through this.""']","['Lukas' 'Therapist' 'Lukas' 'Therapist' 'Lukas' 'Therapist' 'Lukas'
 'Therapist' 'Lukas' 'Therapist' 'Lukas' 'Therapist']",Lukas,,,331857,train,Yes,Yes,Unknown,No
