,head,relation,tail,literal,narrative,dialogue,speakers,PersonX,PersonY,PersonZ,original_index,split,head_answer,pmi_head_answer,relation_tail_answer,pmi_relation_tail_answer
15,PersonX brings PersonY back to his place,xIntent,to make PersonY feel better,Sagar brings Shruti back to his place because Sagar wants to make Shruti feel better.,"Shruti was having a tough day, so Sagar offered to take her back to his place to cheer her up. He fixed her a drink and they talked and laughed for hours. By the end of the night, Shruti was feeling much better.","['Hey, Shruti. I noticed you were having a tough day today. Are you doing alright?'
 ""Yeah, I'm doing alright. Thanks for asking. It's just been one of those days, you know?""
 ""I completely understand. Here, let me fix you a drink. It'll make you feel better.""
 ""Thank you, Sagar. That's really sweet of you.""
 ""It's no problem at all. I just want to make sure you're okay.""
 'I appreciate it.' ""So, what's been going on? What's been bothering you?""
 ""It's just work, you know. It's been really stressful lately and I can't seem to get ahead.""
 ""That sounds rough. I'm sure it'll all work out in the end, though. You're a tough cookie, Shruti.""
 'Thanks, Sagar. Just hearing you say that makes me feel a little better already.'
 ""Good! That's what I wanted to hear. Now drink up and relax a little bit, okay?""
 'Alright, thanks again.']","['Sagar' 'Shruti' 'Sagar' 'Shruti' 'Sagar' 'Shruti' 'Sagar' 'Shruti'
 'Sagar' 'Shruti' 'Sagar' 'Shruti']",Sagar,Shruti,,6094946,train,Yes,Yes,Yes,Yes
16,PersonX and PersonY speak very frankly,xIntent,to make PersonY feel better,Rodriquez and Naimah speak very frankly because Rodriquez wants to make Naimah feel better.,Rodriquez and Naimah spoke very frankly because Rodriquez wanted to make Naimah feel better. She told her that she had been through a lot lately and that she understood how she felt. She also told her that she was there for her if she needed to talk.,"['Hey, Naimah. I wanted to talk to you about something.' ""What's up?""
 ""I know you've been going through a lot lately and I just wanted to let you know that I understand how you feel. I've been through a lot myself and I know it's not easy. But I want you to know that I'm here for you if you need to talk. Just let me know if there's anything I can do, okay?""
 ""Thanks, Val. I appreciate that. I'm just feeling a bit overwhelmed right now.""
 ""Yeah, I can imagine. It's a lot to deal with. But like I said, I'm here for you if you need anything. Just let me know.""]",['Rodriquez' 'Naimah' 'Rodriquez' 'Naimah' 'Rodriquez'],Rodriquez,Naimah,,6099877,train,Yes,Yes,Yes,Yes
17,PersonX gets to know PersonY better,xIntent,to make PersonY feel better,Lou gets to know Weldon better because Lou wants to make Weldon feel better.,"Lou and Weldon had been talking for a while before Lou finally asked her out. He did it because he wanted to get to know her better, and he could tell that she was lonely. Plus, he thought she was really cute.","[""I've really enjoyed talking to you, Weldon. I was wondering if you might want to go out sometime?""
 ""I'd love to! I'm so sick of being cooped up in this house all the time. When were you thinking?""
 'How about Friday night?' 'That sounds great! What should we do?'
 ""Well, there's a new movie out that I've been wanting to see. We could go see that and then grab dinner afterwards.""
 ""That sounds like a perfect date! I'll see you on Friday then.""]",['Lou' 'Weldon' 'Lou' 'Weldon' 'Lou' 'Weldon'],Lou,Weldon,,6108504,train,Yes,Yes,Yes,No
18,PersonX reveals secret to PersonY,xIntent,to make PersonY feel better,Mckenzie reveals secret to Jalan because Mckenzie wants to make Jalan feel better.,Mckenzie told Jalan that he really liked her and that he thought she was pretty. He also told her that he thought she was a good person.,"[""I really like you, Jalan. I think you're pretty and I think you're a good person.""
 'Thanks, Mckenzie. I appreciate that. I like you too.'
 ""I'm glad we like each other. I think we could be really good friends.""
 'I agree, Mckenzie. I think we could be great friends.']",['Mckenzie' 'Jalan' 'Mckenzie' 'Jalan'],Mckenzie,Jalan,,6116858,train,Yes,Yes,No,No
20,PersonX takes PersonY by the arm,xWant,to make PersonY feel better,Konrad takes Nya by the arm. Now Konrad wants to make Nya feel better.,"Konrad took Nya by the arm. Konrad wanted to make Nya feel better, so she took her out for coffee.","['Hey, are you okay? You looked really upset back there.'
 ""Yeah, I'm fine. I just can't believe that happened. It was so humiliating.""
 ""I know. It's tough when something like that happens unexpectedly. But you handled it well, considering the circumstances.""
 ""Thanks. I guess I just feel like such a fool right now. Everyone must think I'm an idiot.""
 ""Don't worry about what other people think. They don't know what it's like to be in your shoes and they're not worth your time or energy anyway. Just focus on how you're feeling and what you need to do to take care of yourself right now.""
 ""Yeah, I guess you're right. Thanks for understanding, Konrad.""
 ""Of course. If you ever need to talk, don't hesitate to reach out to me. I'm always here for you.""]",['Konrad' 'Nya' 'Konrad' 'Nya' 'Konrad' 'Nya' 'Konrad'],Konrad,Nya,,6135956,train,Yes,Yes,Yes,Yes
21,PersonX rubs PersonY's head,xIntent,to make PersonY feel better,Adysen rubs Dyllon's head because Adysen wants to make Dyllon feel better.,"Adysen was rubbing Dyllon's head because she had a headache. Adysen wanted to make her feel better, so he rubbed her head and back for a few minutes.","['Dyllon, are you feeling any better?'
 'Yes, thank you. The pain is subsiding a bit.'
 ""Good. I'm glad I could help.""
 ""Me too. It's really sweet of you to care so much.""
 ""Of course! You're my friend and I want you to feel better.""
 'Thank you, Adysen. I appreciate it.']",['Adysen' 'Dyllon' 'Adysen' 'Dyllon' 'Adysen' 'Dyllon'],Adysen,Dyllon,,6142179,train,Yes,Yes,Yes,Yes
23,PersonX is surprised at PersonY's fear,xWant,to make PersonY feel better,Eloise is surprised at Kevion's fear. Now Eloise wants to make Kevion feel better.,"Eloise was surprised at Kevion's fear. He had never seen Kevion so scared before. Eloise wanted to make Kevion feel better, so he put his arm around him and told him it would be okay.","[""It'll be okay, Kevion. I promise. Whatever you're worried about, we'll face it together.""
 ""I don't know if I can do this, Eloise. I'm so scared.""
 ""You're not alone, Kevion. I'm here with you. We'll get through this together.""
 ""Thank you, Eloise. Just knowing you're here with me makes me feel a little better.""
 ""That's what friends are for, right? To help each other through tough times?""
 'Yes, thank you for being my friend, Eloise.']",['Eloise' 'Kevion' 'Eloise' 'Kevion' 'Eloise' 'Kevion'],Eloise,Kevion,,6162088,train,Yes,Yes,Yes,Yes
24,PersonX assures PersonY of it,xWant,to make PersonY feel better,Trinton assures Clarice of it. Now Trinton wants to make Clarice feel better.,Trinton comforts Clarice by gently placing his hand on her arm and assuring her that everything will be alright. He then proceeds to tell her a joke to lighten the mood.,"[""Clarice, I'm so sorry about what happened. I know it's hard to lose someone you care about. But I promise you, everything will be alright.""
 ""I don't know, Trinton. I just feel so lost right now.""
 'I understand how you feel. But like I said, things will get better. Here, let me tell you a joke to cheer you up. Why did the chicken cross the road?'
 'To get to the other side!']",['Trinton' 'Clarice' 'Trinton' 'Clarice'],Trinton,Clarice,,6163485,train,Yes,Yes,Yes,Yes
26,PersonX sends PersonY to town,xIntent,to make PersonY feel better,Cooper sends Ryver to town because Cooper wants to make Ryver feel better.,"Ryver was feeling down, so Cooper suggested he go into town to get some fresh air. She knew the change of scenery would do him some good.","[""Ryver, you've been moping around the house all day. I think you could use some fresh air.""
 ""Yeah, I guess you're right.""
 ""Why don't you go into town and get some coffee or something?""
 'Yeah, that sounds like a good idea. Thanks, Cooper.'
 ""You're welcome. Have a great time!"" ""Hey, Cooper. I'm back.""
 'Hey! How was your time in town?'
 'It was great, actually. I got some coffee and ended up walking around for a bit. The change of scenery was really what I needed.'
 ""I'm glad you had a good time!""]","['Cooper' 'Ryver' 'Cooper' 'Ryver' 'Cooper' 'Ryver' 'Cooper' 'Ryver'
 'Cooper']",Cooper,Ryver,,6212225,train,Yes,Yes,Yes,Yes
28,PersonX hands PersonY the blanket,xIntent,to make PersonY feel better,Alysha hands Jalyn the blanket because Alysha wants to make Jalyn feel better.,"Jalyn feels cold, so Alysha hands him a blanket.","['Hey, you look cold. Here, take my blanket.' ""Thanks. I'm really cold.""
 ""It's no problem. I can't stand to see you suffer.""
 'I appreciate it. This blanket is really warm.'
 ""I'm glad it's helping. Let me know if you need anything else, okay?""
 'Will do. Thanks again.']",['Alysha' 'Jalyn' 'Alysha' 'Jalyn' 'Alysha' 'Jalyn'],Alysha,Jalyn,,6245387,train,Yes,Yes,Yes,Yes
29,PersonX makes PersonY feel at ease,xWant,to make PersonY feel better,Jayson makes Tariah feel at ease. Now Jayson wants to make Tariah feel better.,"After getting to know each other a little better, Jayson makes Tariah feel at ease by sharing some of her own personal experiences. Now Jayson wants to make Tariah feel better by cooking her favorite meal and bringing it to her with a bouquet of flowers.","['Hey Tariah. How are you doing?'
 ""I'm okay, I guess. Just feeling a little down lately.""
 ""Yeah, I can understand that. I've been through some tough times myself. But I've found that cooking my favorite meal and then eating it with someone I care about always makes me feel better. Would you like me to make you something special and bring it over to your place?""
 ""Wow, that's really sweet of you, Jayson. Yes, I would love that. Thank you so much!""
 ""You're welcome, Tariah. I'll see you soon."" 'Thank you again, Jayson.']",['Jayson' 'Tariah' 'Jayson' 'Tariah' 'Jayson' 'Tariah'],Jayson,Tariah,,6248896,train,Yes,Yes,Yes,Yes
30,PersonX feeds PersonY meat,xIntent,to make PersonY feel better,Maddilyn feeds Cambri meat because Maddilyn wants to make Cambri feel better.,"Maddilyn felt bad that Cambri was feeling sick, so he decided to make him a special meal of his favorite foods. He cooked up a big juicy steak and some roasted potatoes, and brought it all into Cambri's room on a tray. Cambri was so happy to have his favorite meal, and he felt much better afterwards.","[""I'm so sorry to hear that you're not feeling well, Cambri. I wanted to make you your favorite meal to try and make you feel better.""
 'Thank you so much, Maddilyn. I really appreciate it. This is exactly what I needed.'
 ""I'm just glad I could help. Let me know if there's anything else I can do for you.""
 'Actually, there is one thing...' 'Sure, anything. Just name it.'
 ""Well, I've been feeling a little cooped up in this room lately and I was wondering if maybe you could take me for a walk outside?""
 ""Of course! That sounds like a great idea. Let me help you get dressed and we'll head out right away.""]",['Maddilyn' 'Cambri' 'Maddilyn' 'Cambri' 'Maddilyn' 'Cambri' 'Maddilyn'],Maddilyn,Cambri,,6251864,train,Yes,Yes,Unknown,No
32,PersonX deals with PersonY's fear,xWant,to make PersonY feel better,Arnold deals with Ebonee's fear. Now Arnold wants to make Ebonee feel better.,Arnold talked to Ebonee about his fear and explained that there was nothing to be afraid of. He reassured Ebonee that he would always be there for him and that he would never let anything happen to him. This made Ebonee feel better and he was no longer afraid.,"[""Hey Ebonee, what's up? You seem a little down.""
 ""Yeah, I've just been feeling a bit off lately. I don't know what it is.""
 ""Well, whatever it is, I'm here for you. You can talk to me about anything, you know that.""
 ""Thanks, Arnold. Just knowing you're here for me makes me feel a bit better already.""
 ""Of course! Now, what's going on? What's got you so upset?""
 ""It's just...I don't know. I feel like there's something bad going to happen, like something really terrible is going to happen and there's nothing I can do to stop it. It's just this feeling that won't go away no matter what I do.""
 ""Hey, it's okay. There's nothing wrong with being afraid of something like that happening. But you have to remember that bad things happen to everyone at some point in their life - it doesn't mean that they're necessarily going to happen to you specifically. And even if they do happen, we'll face them together - I'll be right there with you the whole way. Okay?""
 'Okay...yeah, that does make me feel better actually hearing you say that. Thank you so much, Arnold!']",['Arnold' 'Ebonee' 'Arnold' 'Ebonee' 'Arnold' 'Ebonee' 'Arnold' 'Ebonee'],Arnold,Ebonee,,6292586,train,Yes,Yes,Yes,Yes
33,PersonX argues that PersonY has feelings,xWant,to make PersonY feel better,Aissatou argues that Markese has feelings. Now Aissatou wants to make Markese feel better.,"Markese was feeling down, so Aissatou decided to cheer him up. She told him some jokes, and he laughed. Then she gave him a hug, and he felt better.","[""Hey Markese, what's up?"" 'Not much. Just feeling a little down.'
 ""Well, I'm here to cheer you up! I've got some jokes for you.""
 'Alright, hit me with them.'
 'Okay, so why did the chicken cross the road?'
 'To get to the other side?'
 'Exactly! And why did the duck cross the road?' ""Um...I don't know. Why?""
 'To get to the other side! And why did the mosquito cross the road?'
 'I have no idea. Why?' 'To get to the other side!'
 'Ha, okay that made me laugh. Thanks.'
 ""No problem! Now give me a hug, and you'll feel even better.""
 'Alright, thanks Aissatou.']","['Aissatou' 'Markese' 'Aissatou' 'Markese' 'Aissatou' 'Markese' 'Aissatou'
 'Markese' 'Aissatou' 'Markese' 'Aissatou' 'Markese' 'Aissatou' 'Markese']",Aissatou,Markese,,6296685,train,Yes,Yes,Yes,No
35,PersonX asks PersonY to pretend,xIntent,to make PersonY feel better,Mordechai asks Gary to pretend because Mordechai wants to make Gary feel better.,"Mordechai asks Gary to pretend that they are best friends because Mordechai wants to make Gary feel better. Mordechai thinks that Gary is lonely and doesn't have any friends, so he wants to be friends with him.","[""Hey Gary, how's it going?"" ""It's going okay, I guess.""
 ""You seem a little down today. What's wrong?""
 ""I don't really have any friends. Everyone always seems to be busy or they just don't want to talk to me.""
 ""That sounds really tough. I'm sorry that you're feeling that way.""
 ""It's just hard sometimes, you know? Feeling like you're the only one who is alone all the time.""
 ""Yeah, I know how that feels. But I'm here for you, Gary. We can be friends if you want.""
 ""Really? You'd want to be friends with me?""
 ""Of course! I think you're a great guy and I'd love to get to know you better.""
 ""Thank you, Mordechai. I'd like that.""]","['Mordechai' 'Gary' 'Mordechai' 'Gary' 'Mordechai' 'Gary' 'Mordechai'
 'Gary' 'Mordechai' 'Gary']",Mordechai,Gary,,6311110,train,Yes,Yes,No,No
36,PersonX tells PersonY to get some sleep,xIntent,to make PersonY feel better,Eliott tells Jordana to get some sleep because Eliott wants to make Jordana feel better.,"Jordana is sick in bed with a cold, and Eliott tells Jordana to get some sleep. Jordana feels too restless to sleep, so Eliott offers to read aloud to Jordana in order to help Jordana fall asleep.","['You seem pretty restless. Maybe I can help you fall asleep by reading to you.'
 ""Reading sounds nice, but I'm not sure it will help me fall asleep.""
 ""It's worth a shot, right? What book do you want me to read?""
 ""You can pick something out. I'm not really in the mood for anything specific.""
 'Okay, how about this one then? [Picks up a book and starts reading.]'
 ""This isn't working. I appreciate the effort, but I think I'm just going to have to tough it out and try to sleep on my own.""
 ""That's understandable. It's not easy to sleep when you're not feeling well. Maybe we can try something else?""
 'Like what?'
 'Well, sometimes people find it helpful to relax their whole body before trying to sleep. Would you like me to show you how to do that?'
 'Sure, that might work.'
 ""Great! Let's start by lying down in a comfortable position...""]","['Eliott' 'Jordana' 'Eliott' 'Jordana' 'Eliott' 'Jordana' 'Eliott'
 'Jordana' 'Eliott' 'Jordana' 'Eliott']",Eliott,Jordana,,6325910,train,Yes,Yes,Yes,Yes
38,PersonX feels disappointed with PersonY,xWant,to make PersonY feel better,Jeslyn feels disappointed with Elliot. Now Jeslyn wants to make Elliot feel better.,Jeslyn felt disappointed with Elliot. She felt that Elliot was not doing her best and she wanted to make her feel better. Jeslyn decided to talk to Elliot and she told her how she felt.,"[""Hey, Elliot. I feel like you're not really trying your best lately and it's disappointing me. I know you can do better than this. What's going on?""
 ""I'm sorry, Jeslyn. I know I haven't been performing as well as I should have been. It's just that things have been tough for me lately and I've been struggling to keep up.""
 ""What kind of things have been tough for you? Maybe I can help you out if I know what's going on.""
 ""It's just personal stuff. I don't really want to talk about it.""
 'Okay, well maybe we can talk about something else then. How are your classes going? Have you been studying hard for your exams?'
 ""Yeah, classes are fine. And yeah, I've been studying a lot too. But it's just hard to focus sometimes when there's so much going on in my head.""
 ""Well, maybe we can study together sometime then. That way we can keep each other accountable and make sure that we're both staying on top of our work. Would that be okay with you?""
 'Yeah, that would be great actually. Thank you, Jeslyn.']",['Jeslyn' 'Elliot' 'Jeslyn' 'Elliot' 'Jeslyn' 'Elliot' 'Jeslyn' 'Elliot'],Jeslyn,Elliot,,6339692,train,Yes,Yes,Yes,Yes
40,PersonX improves PersonY's behavior,xNeed,to make PersonY feel better,Ina made Cameryn feel better. Ina improves Cameryn's behavior.,"Cameryn felt nervous about starting middle school, but Ina made him feel better by telling him about her own experience starting middle school. She also promised to help him with anything he needed and to be there for him. This made Cameryn feel much better and he was able to go into his first day of middle school with confidence.","['Hey, Cameryn. I saw you walking to school this morning and I wanted to catch up with you. How are you feeling about starting middle school?'
 ""I'm feeling a little nervous. It's all so new and different. But seeing you here makes me feel better.""
 ""Yeah, I remember how scary it was starting middle school too. But it's not so bad once you get used to it. And if you ever need any help, just let me know. I'll be there for you.""
 ""Thank you, Ina. Just knowing that you're here for me makes me feel a lot better.""]",['Ina' 'Cameryn' 'Ina' 'Cameryn'],Ina,Cameryn,,6345869,train,Yes,Yes,Yes,Yes
43,PersonX relates a story about PersonY,xIntent,to make PersonY feel better,Tyler relates a story about Mecca because Tyler wants to make Mecca feel better.,"One day, Mecca was feeling down. She had been trying hard at her job, but she felt like she wasn't making any progress. Tyler saw Mecca sitting by herself, looking discouraged, so she went over to talk to her.","[""Hi, Mecca. You look like you're having a tough day.""
 ""Yeah, I am. I feel like I'm not doing well at my job and it's really discouraging me.""
 'That sounds tough. Can I talk with you about it?' 'Sure.'
 'Well, first of all, how long have you been feeling this way?'
 ""For a few weeks now. I just can't seem to get ahead no matter how hard I try.""
 ""Okay, that's understandable. It sounds like you're really putting a lot of pressure on yourself to succeed. Maybe you need to take some time to relax and rejuvenate so that you can come back to your work with fresh eyes and new energy. What do you think?""
 ""Yeah, that makes sense. I definitely need to take some time for myself or else I'm just going to keep feeling overwhelmed and stressed out. Thank you for talking with me, Tyler. This has helped a lot already.""]",['Tyler' 'Mecca' 'Tyler' 'Mecca' 'Tyler' 'Mecca' 'Tyler' 'Mecca'],Tyler,Mecca,,6367880,train,Yes,Yes,No,No
45,PersonX realizes that PersonY is worried,xWant,to make PersonY feel better,Cartier realizes that Honor is worried. Now Cartier wants to make Honor feel better.,Cartier notices that Honor looks worried and asks her what is wrong. Honor tells Cartier that she is worried about her math test tomorrow. Cartier tries to reassure Honor by telling her that she is a good student and will do fine on the test.,"[""Don't worry about it, you're a good student. You'll do fine.""
 ""But what if I don't? I've been having so much trouble with math lately.""
 'Have you been studying?' ""Yeah, but it's just not clicking.""
 'Well, maybe we can go over some of the material together. Would that help?'
 'Yeah, maybe. Thanks, Cartier.']",['Cartier' 'Honor' 'Cartier' 'Honor' 'Cartier' 'Honor'],Cartier,Honor,,6407616,train,Yes,Yes,Yes,Yes
